Customer ID,Recency,Frequency,Monetary
15712.0,9,12,3472.41
12931.0,21,57,92347.34
17611.0,7,28,8321.980000000003
16620.0,3,6,1758.93
13381.0,31,12,8224.37
17428.0,0,45,31819.76
15833.0,737,1,80.4
17768.0,8,7,3509.5100000000007
14739.0,4,25,12287.5
14980.0,737,1,150.68
13089.0,2,203,116737.86000000009
15989.0,375,2,372.51
17017.0,2,29,14110.609999999997
13208.0,59,8,1964.02
16139.0,18,5,1111.15
14967.0,49,6,1982.6100000000001
12937.0,15,9,3097.61
18051.0,634,7,2282.28
17631.0,1,7,998.4900000000001
14134.0,382,15,11123.350000000002
12978.0,385,5,2502.819999999999
16736.0,505,5,2956.56
13946.0,79,6,1876.23
16541.0,735,1,424.0299999999999
13680.0,1,12,11435.669999999991
13694.0,3,143,196482.81000000003
13813.0,39,8,2765.47
16104.0,61,9,2778.6100000000006
15260.0,100,25,9188.230000000001
14548.0,150,9,2627.49
13019.0,379,6,1229.95
12471.0,2,75,39832.69999999998
16717.0,23,14,6986.2300000000005
14136.0,400,5,1570.81
17371.0,17,6,658.55
15367.0,57,11,5081.33
12979.0,729,1,517.7000000000002
15738.0,18,41,13372.97
14043.0,491,2,304.25
17958.0,116,2,973.8799999999999
17754.0,0,13,4577.529999999999
14032.0,2,16,4850.269999999999
15672.0,725,1,45.300000000000004
16749.0,591,2,4387.08
13756.0,2,23,9207.500000000002
14769.0,2,17,15770.229999999998
17402.0,4,23,5096.18
13225.0,3,16,16260.070000000002
13921.0,402,4,730.7
12609.0,78,9,3435.86
14198.0,18,9,1569.7299999999998
14532.0,236,11,3859.1799999999994
16304.0,694,1,381.6599999999999
14256.0,260,5,2473.9900000000007
16660.0,16,7,1879.5500000000002
15605.0,36,9,1936.8
12789.0,65,3,273.35
14420.0,99,4,1639.1699999999998
16954.0,0,20,6081.880000000002
13555.0,73,13,8999.19
14207.0,687,1,157.8
14431.0,302,4,2614.2000000000007
14274.0,686,1,256.6
16822.0,686,1,181.39
16950.0,56,10,3776.37
13729.0,435,3,724.73
14621.0,1,9,3000.5700000000006
13477.0,37,11,2834.17
15611.0,9,26,2997.28
15003.0,473,6,1060.7000000000007
12873.0,282,3,2027.3000000000004
12869.0,681,1,337.66999999999996
17982.0,680,1,138.18
13392.0,677,1,91.14
15022.0,11,5,1186.0900000000001
14370.0,450,6,1175.78
13757.0,674,1,195.55
15591.0,582,3,217.9
16788.0,123,5,1948.65
12621.0,1,35,24775.809999999994
13242.0,112,7,699.4
16873.0,4,12,14617.39
14072.0,666,1,390.8500000000001
13446.0,430,11,3881.8899999999994
15425.0,400,4,1944.5699999999997
15538.0,537,6,3358.4
15325.0,103,8,1602.0100000000002
13659.0,205,12,4894.880000000001
15295.0,654,1,217.2399999999999
14284.0,30,3,1299.6499999999999
14006.0,115,7,2196.67
13771.0,64,9,5728.82
17534.0,53,5,1668.83
16037.0,269,5,1509.3400000000001
17049.0,2,19,9947.480000000001
12371.0,44,5,4067.38
15094.0,463,2,83.0
16331.0,432,6,2037.7
17236.0,12,12,1929.26
17065.0,637,2,194.7
15994.0,54,3,1202.1799999999998
12366.0,633,1,500.24
16199.0,392,7,942.75
16615.0,626,1,291.5
13900.0,183,6,1610.5900000000001
